FIRST_ELEVATION,GROUND_ELEVATION,KB HEIGHT,KB_HEIGHT_ACTUAL,KB_HEIGHT_PREDICTED
1124.0,1110.0,14,14,14.00688192071137
1286.0,1272.0,14,14,14.006650908441316
1073.0,1065.0,8,8,8.005026095032399
793.0,786.92,6,6,6.08480823893481
251.0,242.0,9,9,9.006519693697058
2608.7,2582.7,26,26,26.008621839563766
3041.0,3024.0,17,17,17.005112551397154
3181.0,3170.0,11,11,11.002984359399825
331.0,303.0,28,28,28.01251269414929
2983.0,2966.0,17,17,17.005195259493945
1216.0,1180.0,36,36,36.01382208502572
2369.0,2356.0,13,13,13.004785123341746
44.0,29.0,15,15,15.00874342780597
497.0,464.0,33,33,33.01388310434238
3154.0,3135.0,19,19,19.00559426379702
2998.0,2990.0,8,8,8.002281041823
1119.0,1111.0,8,8,8.004960498955883
646.0,634.49,12,12,11.516763200526405
3548.0,3535.0,13,13,13.003103867375932
1862.0,1852.6,9,9,9.404350975128686
2650.0,2623.59,26,26,26.41869473006531
1205.0,1190.0,15,15,15.007087839870287
2702.0,2676.0,26,26,26.008488793608198
2655.0,2637.0,18,18,18.005984413334815
2884.0,2870.0,14,14,14.004372157776846
2483.0,2466.0,17,17,17.005908260327516
2038.0,2012.0,26,26,26.00943565871531
51.0,45.0,6,6,6.0058406181483335
1085.0,1076.0,9,9,9.005330408306545
429.0,415.0,14,14,14.007872991870038
266.0,241.0,25,25,25.011641108375947
2695.0,2687.61,7,7,7.392517050898494
4785.0,4769.0,16,16,16.002304179195725
2770.0,2743.0,27,27,27.00871325078875
290.0,281.0,9,9,9.006464079631783
1001.0,990.0,11,11,11.006093043034546
143.0,136.0,7,7,7.006030851289106
1202.0,1192.0,10,10,10.0054849914053
902.0,895.0,7,7,7.004948516023639
606.0,563.49,43,43,42.52678442470644
846.0,840.0,6,6,6.004706946822919
623.0,615.0,8,8,8.00566779578288
2792.0,2764.0,28,28,28.009003304046267
3288.0,3265.0,23,23,23.006688880749223
186.0,169.0,17,17,17.009183786156836
870.0,860.0,10,10,10.005958423959049
1671.0,1663.88,7,7,7.123890491776706
2551.0,2534.0,17,17,17.005811292214204
2427.0,2415.0,12,12,12.00438098995095
249.0,241.31,8,8,7.6961014785648185
807.0,800.0,7,7,7.005083986182061
395.0,383.27,12,12,11.737191840509256
2574.0,2558.0,16,16,16.005457068881718
26.0,14.0,12,12,12.00780481995365
1017.0,1010.0,7,7,7.004784525831793
2672.0,2650.0,22,22,22.00724587248232
1020.0,1010.0,10,10,10.005744523708831
580.0,570.0,10,10,10.006371964442401
4992.0,4980.0,12,12,12.00072329567465
2806.0,2795.0,11,11,11.003519110025081
4821.0,4808.0,13,13,13.001288567253514
4558.0,4550.0,8,8,8.000056479221998
974.0,968.0,6,6,6.004524418609444
2550.0,2539.0,11,11,11.003884166451867
2080.0,2048.0,32,32,32.011304318409216
1539.0,1529.0,10,10,10.005004428843543
47.0,24.53,22,22,22.48114019674697
1960.0,1950.0,10,10,10.004404082141598
5775.0,5764.0,11,11,10.999285311075052
384.0,374.0,10,10,10.006651460769302
816.0,810.0,6,6,6.004749726872975
379.0,367.0,12,12,12.007301441365227
18.0,6.0,12,12,12.007816227967126
374.0,351.9,22,22,22.110554966842557
355.0,342.0,13,13,13.007657090699386
4342.0,4334.0,8,8,8.000364495582096
966.0,952.36,14,14,13.646991515868919
3420.0,3408.07,12,12,11.93294247052458
938.0,928.0,10,10,10.005861455845624
400.0,378.0,22,22,22.010485748270384
2818.0,2808.0,10,10,10.003180572710999
2853.0,2831.0,22,22,22.006987766180448
2824.0,2798.0,26,26,26.008314821404895
1332.0,1319.0,13,13,13.006263887070684
1891.0,1873.0,18,18,18.00707387860852
2882.0,2868.0,14,14,14.004375009780277
1048.0,1042.0,6,6,6.004418894486353
3290.0,3262.0,28,28,28.00829315521584
1275.0,1245.0,30,30,30.01180939916341
418.0,400.0,18,18,18.009174379064376
2593.0,2578.0,15,15,15.005108549556198
2858.0,2843.0,15,15,15.004730659114196
2008.0,2000.0,8,8,8.00369278347361
2724.0,2713.0,11,11,11.00363604216171
999.0,993.0,6,6,6.004488768567981
470.0,456.1,14,14,13.907782383272426
3507.0,3494.0,13,13,13.003162333443907
2309.0,2288.0,21,21,21.00744208579355
569.0,550.0,19,19,19.00928047810661
2631.0,2624.0,7,7,7.002482959140911
2357.0,2345.0,12,12,12.004480810067713
695.0,673.0,22,22,22.01006507777849
2417.0,2392.0,25,25,25.008573778789486
805.0,778.0,27,27,27.011515344065284
3234.0,3227.0,7,7,7.001623080135607
1024.0,980.98,43,43,43.03635228290963
1984.0,1972.0,12,12,12.005012708689556
5187.0,5179.0,8,8,7.999159524173817
1116.0,1106.0,10,10,10.00560762754878
2896.0,2884.0,12,12,12.003712195168895
107.0,100.0,7,7,7.00608218734922
1010.0,1000.0,10,10,10.005758783725462
1348.0,1330.0,18,18,18.00784819751385
33.0,15.0,18,18,18.00972338970615
4965.0,4954.0,11,11,11.000440372425121
2539.0,2521.0,18,18,18.006149829528123
465.0,451.0,14,14,14.007821655810215
2900.0,2883.0,17,17,17.00531361763248
1170.0,1160.0,10,10,10.005530623458725
5232.0,5222.0,10,10,9.999738204687045
3258.0,3237.0,21,21,21.00608881021138
3174.0,3160.0,14,14,14.003958617293264
133.0,126.12,7,7,6.886006540270371
1257.0,1251.0,6,6,6.004120860137794
986.0,980.0,6,6,6.004507306589723
2876.0,2860.0,16,16,16.005026416378335
416.0,393.0,23,23,23.01078435753812
4736.0,4721.0,15,15,15.002052627983268
2853.0,2827.0,26,26,26.008273467356464
3303.0,3291.0,12,12,12.003131812490375
2378.0,2356.0,22,22,22.00766511697253
1036.0,1013.0,23,23,23.009900236503945
321.0,296.0,25,25,25.01156267828405
800.0,790.0,10,10,10.006058244075565
1075.0,1060.0,15,15,15.007273220086917
2530.0,2504.0,26,26,26.008734065895013
404.0,374.0,30,30,30.01305144661545
3276.0,3263.0,13,13,13.003491739829405
1416.0,1400.0,16,16,16.007108378812507
2312.0,2295.0,17,17,17.006152106612618
897.0,891.0,6,6,6.004634220737923
2701.0,2670.0,31,31,31.010097346079874
1097.0,1070.0,27,27,27.011098951578106
1106.0,1100.0,6,6,6.00433618638956
2218.0,2203.0,15,15,15.005643300181307
1405.0,1366.48,39,39,38.534362562451335
52.0,40.62,11,11,11.387568460228456
828.0,818.0,10,10,10.006018316028992
1140.0,1130.0,10,10,10.00557340350878
394.0,385.0,9,9,9.006315775458638
756.0,733.0,23,23,23.010299516970896
2127.0,2109.0,18,18,18.006737342215057
4313.0,4301.0,12,12,12.001691550806314
1995.0,1967.0,28,28,28.010139827374964
1556.0,1550.0,6,6,6.003694485639244
2693.0,2681.0,12,12,12.004001673507315
2691.0,2677.0,14,14,14.004647376098749
2608.0,2597.0,11,11,11.003801458355268
916.0,907.8,8,8,8.205314262353133
841.0,832.0,9,9,9.005678352713332
920.0,910.0,10,10,10.005887123875404
4016.0,4004.0,12,12,12.002115073301464
4620.0,4609.0,11,11,11.000932343000727
403.0,378.0,25,25,25.011445746147093
3447.0,3428.0,19,19,19.005176445308212
862.0,852.0,10,10,10.005969831972196
2700.0,2687.94,12,12,12.064010977013313
926.0,916.0,10,10,10.005878567865738
1415.0,1403.0,12,12,12.005824103638231
1513.0,1503.0,10,10,10.005041504886886
2881.0,2855.0,26,26,26.00823353930989
391.0,381.0,10,10,10.006641478757503
410.0,384.5,26,26,25.511596476782753
1019.0,1009.0,10,10,10.005745949710407
1464.0,1439.0,25,25,25.009932758378344
2755.0,2745.0,10,10,10.003270410816107
4977.0,4953.0,24,24,24.004601789227078
4755.0,4742.0,13,13,13.00138268336329
724.0,714.0,10,10,10.006166620202467
2577.0,2565.0,12,12,12.004167089700871
1924.0,1904.0,20,20,20.007669671141468
2658.0,2637.0,21,21,21.006944411211688
4875.0,4850.0,25,25,25.005068666691457
2090.0,2062.0,28,28,28.010004357216573
1470.0,1460.0,10,10,10.005102822958513
2502.0,2489.0,13,13,13.004595465119898
5321.0,5296.0,25,25,25.004432669948322
2758.0,2740.0,18,18,18.00583753516308
4128.0,4116.0,12,12,12.001955361115296
2635.0,2624.0,11,11,11.00376295631024
834.0,822.0,12,12,12.006652610606999
2926.36,2899.0,27,27,27.368605994274162
3983.0,3970.0,13,13,13.002483556650448
2857.0,2832.0,25,25,25.00794633805586
2809.0,2787.0,22,22,22.00705051025376
2596.0,2585.47,11,11,10.53366750048732
1299.0,1289.41,10,10,9.595214884873066
1557.0,1548.0,9,9,9.004657335519543
2687.0,2657.0,30,30,30.009795884809044
3335.0,3322.0,13,13,13.003407605731097
594.0,587.73,6,6,6.275153084072311
2876.0,2859.0,17,17,17.005347841672368
4840.0,4831.0,9,9,8.999975772045927
91.0,85.0,6,6,6.005783578081811
460.0,428.0,32,32,32.01361444110958
2502.0,2478.0,24,24,24.008131143353687
3356.0,3339.39,17,17,16.614538005007347
730.0,720.0,10,10,10.006158064192409
2817.0,2809.0,8,8,8.00253914812484
1165.0,1153.0,12,12,12.006180604054991
1480.0,1459.0,21,21,21.008624241175728
472.0,462.0,10,10,10.006525972622512
686.0,655.0,31,31,31.012970739439215
5364.0,5350.0,14,14,14.000835673641848
820.0,810.0,10,10,10.006029724042303
5809.0,5797.0,12,12,11.999558252312656
2785.0,2750.0,35,35,35.01126326311561
3160.0,3147.0,13,13,13.003657156022829
88.0,79.03,9,9,8.976742489209899
443.0,433.0,10,10,10.006567326670993
637.0,629.0,8,8,8.00564783175912
3641.0,3631.0,10,10,10.002006973338895
58.0,46.0,12,12,12.007759187900831
291.0,269.0,22,22,22.010641182451845
