BORE_ID,HEADER_ID,STATE_NAME,COUNTY_NAME,WELL_PROFILE_CODE,FIRST_ELEVATION,FIRST_ELEVATION_TYPE_CODE,FIRST_ELEVATION_SOURCE,SECOND_ELEVATION,SECOND_ELEVATION_TYPE_CODE,SECOND_ELEVATION_SOURCE,GROUND_ELEVATION,GROUND_ELEVATION_SOURCE,GROUND_ELEVATION_TYPE,KB HEIGHT,WELL_DATE,LATITUDE,LONGITUDE,KB_HEIGHT_ACTUAL,KB_HEIGHT_PREDICTED
7225251,7116214,OH,STARK,V,990.0,KB,ST_OHDNR,,,,980.0,ST_OHDNR,GR,10,1982-06-07,40.7041857453129,-81.391227521818,10,10.015286328831543
8204450,8025629,ND,MCKENZIE,H,2215.0,KB,ST_NDOGD,,,,2188.0,ST_NDOGD,GR,27,2018-07-03,47.9077769705231,-102.735241768729,27,24.81053551704443
7185793,7076774,OH,MUSKINGUM,V,1058.0,KB,ST_OHDNR,,,,1045.0,ST_OHDNR,GR,13,1971-12-22,40.0373181772288,-81.7639249415676,13,11.313007437986489
7016380,6907938,TX,ROBERTS,H,2950.0,KB,ST_TXRRC,2948.0,DF,ST_TXRRC,2927.0,ST_TXRRC,GR,23,2012-01-23,36.0550523236819,-100.816505284262,23,23.330898525238215
4052691,3991702,CO,WELD,V,5027.0,KB,STATE,,,,5019.0,ST_COOGC,GR,8,1973-08-01,40.0167448470856,-104.887703205466,8,9.520319696730539
6507880,6403891,TX,PECOS,H,2463.5,DF,ST_TXRRC,,,,2456.0,ST_TXRRC,GR,8,2007-05-19,30.91369999989,-101.945139999843,8,14.975964401356785
5380691,5295891,NM,EDDY,D,3780.0,KB,STATE,,,,3764.0,ST_NMOCD,GR,16,1996-05-16,32.492163963959,-104.580317274817,16,17.094327007656467
5179396,5095834,OK,STEPHENS,V,1184.0,KB,ST_OKOCC,,,,1171.7,ST_OKOCC,GR,12,1953-12-03,34.586025560744,-97.7263387892442,12,11.048015223768196
5659920,5571372,NM,SAN JUAN,V,6490.0,DF,UNKNOWN,,,,6464.0,ST_NMOCD,GR,26,1958-08-15,36.88967,-107.55442,26,18.89071975990354
6153308,6054226,ND,BOWMAN,V,3008.0,KB,ST_NDOGD,,,,2995.0,ST_NDOGD,GR,13,1975-02-14,45.9473936924084,-103.875080875601,13,11.634180209643928
4195695,4133332,TX,BRAZOS,H,243.0,KB,ST_TXRRC,243.0,DF,ST_TXRRC,221.0,ST_TXRRC,GR,22,1993-05-16,30.6374021418228,-96.2106371858164,22,22.18753736423717
7190198,7081179,OH,MUSKINGUM,V,955.0,KB,ST_OHDNR,,,,945.0,ST_OHDNR,GR,10,1984-06-05,40.0143170026941,-81.9518921270502,10,10.15023009072884
3785020,3726173,TX,ANDREWS,V,3175.0,KB,UNKNOWN,,,,3160.0,UNKNOWN,GR,15,2002-02-28,32.4796872578537,-102.54913667087,15,14.705773812117934
8372673,8190419,UT,UINTAH,H,5412.0,DF,ST_UTOCD,,,,5370.07,FD_USGS,EG,42,2021-10-13,40.143423199918,-109.90752420423,42,35.583585281759625
7429057,7311291,OK,CARTER,V,1028.0,KB,ST_OKOCC,1027.0,DF,ST_OKOCC,1021.0,ST_OKOCC,GR,7,2013-08-29,34.411141467636,-97.4494091071904,7,10.378155526331895
7665902,7540025,TX,BROOKS,V,180.0,KB,ST_TXRRC,179.0,DF,ST_TXRRC,164.0,ST_TXRRC,GR,16,2015-05-15,26.9111122210242,-98.1856071650452,16,15.804408063128227
3959271,3899509,CA,KERN,V,399.0,KB,C_LOG,,,,390.92,FD_USGS,GR,8,1961-12-06,35.6041309986191,-119.721197847093,8,9.412094638304351
7221864,7112828,OH,STARK,V,1170.0,DF,ST_OHDNR,,,,1153.11,FD_USGS,EG,17,1941-03-27,40.9376082153652,-81.3362467117169,17,13.80696966500573
8208404,8029395,TX,SCURRY,V,2402.0,KB,ST_TXRRC,2400.5,DF,ST_TXRRC,2384.0,ST_TXRRC,GR,18,2018-06-14,32.7250035246165,-100.943118639332,18,16.80298924996756
4644534,4576759,OK,LINCOLN,V,923.0,KB,UNKNOWN,,,,914.0,UNKNOWN,GR,9,1965-07-01,35.7339,-96.6771,9,9.562690037819998
3699937,3641844,CO,GARFIELD,D,5612.0,KB,STATE,,,,5586.0,STATE,GR,26,2013-01-25,39.4635549345893,-108.006280252157,26,22.800172601210406
5175956,5092393,OK,STEPHENS,V,1240.0,DF,P2ES,,,,1231.0,P2ES,GR,9,1960-05-20,34.6749981140327,-98.0356442148096,9,9.311074195392475
3941859,3882242,CA,KERN,V,722.83,DF,ST_CADOGGR,,,,713.69,FD_USGS,EG,9,1961-09-15,35.073489,-119.38635,9,11.62820874812606
7334646,7224142,CA,KERN EXTENSION,D,930.0,KB,ST_CADOGGR,,,,920.21,ST_CADOGGR,GR,10,2012-10-23,35.5754207533801,-119.039707216851,10,14.200444569432848
7274462,7165391,CO,WELD,D,4900.0,KB,STATE,,,,4885.0,ST_COOGC,GR,15,2011-10-12,40.1366181300523,-104.670669816654,15,16.63914708732972
